event,mode,band,rho_F=1,rhoS_F=1,rho_F=nu,rhoS_F=nu,rho_F=nu^2,rhoS_F=nu^2,rho_F=log(nu),rhoS_F=log(nu),rho_F=sqrt(nu),rhoS_F=sqrt(nu)
GW190412,real,50-100,3.3042247554255193e-15,0.9999999999999998,2.3780824077598714e-13,71.9709639562222,1.7740375124975182e-11,5368.997703877613,1.4069830545570007e-14,4.258133628006818,2.7904860938330245e-14,8.44520666837527
GW190412,real,100-200,4.308788029317009e-15,1.0000000000000002,6.147057518785784e-13,142.66326115281564,9.115966395173644e-11,21156.68334842323,2.1286961442108958e-14,4.94035939973663,5.120831987983802e-14,11.884622666841912
GW190413_052954,real,20-50,7.742693560107853e-16,1.0000000000000002,2.984374795863961e-14,38.54440024903154,1.1780740638453854e-12,1521.5300136829585,2.8177918188188118e-15,3.639291413180455,4.7921302519375165e-15,6.189228870722304
GW190413_052954,real,50-100,1.558846798310026e-15,1.0,1.1842453006775166e-13,75.96931924043967,9.331881137317591e-12,5986.400425901027,6.7200915195990406e-15,4.310937756605981,1.3522014500920227e-14,8.674370384299271
GW190413_052954,real,100-200,2.8776621232894134e-15,0.9999999999999997,4.326707932885863e-13,150.3549668972279,6.733976577947129e-11,23400.859063501233,1.4373257739792154e-14,4.994769060435176,3.512701457502098e-14,12.206789077401417
GW190413_134308,real,20-50,5.411178770410625e-16,0.9999999999999998,2.199380818350642e-14,40.645133189413066,9.043889195038262e-13,1671.3343947333624,2.0014205976071553e-15,3.698677649593303,3.4445668988895525e-15,6.36564978729794
GW190413_134308,real,50-100,1.7772909234374933e-15,1.0,1.3529057752851763e-13,76.12179623741594,1.0672011003368027e-11,6004.650596384683,7.665600986187005e-15,4.313081716166544,1.543328046247909e-14,8.683598311878665
GW190413_134308,real,100-200,3.5719022565412905e-15,1.0000000000000002,5.083820000364301e-13,142.32808277589922,7.540456136081516e-11,21110.477259764146,1.7635445025348557e-14,4.9372697679653585,4.239148313373723e-14,11.86804119740537
GW190421_213856,real,20-50,8.110016863350973e-16,1.0,3.022166077005157e-14,37.26460903752585,1.1504615254639823e-12,1418.568598374805,2.92526392531127e-15,3.606976378224918,4.937182206464731e-15,6.087758249647755
GW190421_213856,real,50-100,2.1591639031036536e-15,0.9999999999999998,1.5885350351120954e-13,73.5717669616782,1.2106186733400088e-11,5606.886404500492,9.240084412048444e-15,4.279473364095445,1.8434372982184335e-14,8.537736739525034
GW190421_213856,real,100-200,3.889756527471823e-15,1.0000000000000002,5.670927681662535e-13,145.79132759623897,8.554084181905966e-11,21991.31005113514,1.930988811647236e-14,4.96429223271282,4.675909294756538e-14,12.021084769014271
GW190503_185404,real,20-50,9.95892863032593e-16,1.0,4.005549895850024e-14,40.22069084472325,1.6431768602657507e-12,1649.9534450544343,3.668525989094898e-15,3.683655265812299,6.299361299674854e-15,6.32534033881182
GW190503_185404,real,50-100,2.0578120087705664e-15,0.9999999999999998,1.512589188545725e-13,73.50473134080974,1.153196034117737e-11,5603.9911770497965,8.805054727410083e-15,4.278843106115722,1.7561237356794266e-14,8.533936667658079
GW190503_185404,real,100-200,3.2205969970676372e-15,0.9999999999999998,4.822914836562239e-13,149.75219938891814,7.486315672951095e-11,23245.117845441095,1.6069796685677025e-14,4.989694985218151,3.922488001218157e-14,12.179381663677866
GW190514_065416,real,20-50,7.022183071903173e-16,1.0,2.7858357157094537e-14,39.67193232053445,1.138740006949542e-12,1621.6324685492955,2.572884376831911e-15,3.6639380524361647,4.4050027790997534e-15,6.272981968705491
GW190514_065416,real,50-100,2.0502849330140176e-15,0.9999999999999998,1.542387938760227e-13,75.22797997119564,1.1982731761337877e-11,5844.4226792042455,8.822624749108969e-15,4.303121291604717,1.770708708143795e-14,8.636403065893711
GW190514_065416,real,100-200,3.515567977598053e-15,0.9999999999999997,5.188091194507259e-13,147.5747653740983,7.937241302263978e-11,22577.408125349208,1.7492204085110368e-14,4.975640976529086,4.250942936001721e-14,12.091767142861785
GW190517_055101,real,20-50,3.3781083777766184e-16,1.0,1.3371651518239392e-14,39.583251994538614,5.392909305453563e-13,1596.4287412836156,1.2391959331901086e-15,3.6683131344818336,2.120089510906247e-15,6.275966528645341
GW190517_055101,real,50-100,9.166441204592595e-16,1.0,6.942797126836213e-14,75.74146794677212,5.442020578675041e-12,5936.895745263129,3.949684965280969e-15,4.3088532148137135,7.941348454348106e-15,8.663502309237863
GW190517_055101,real,100-200,1.884261469376845e-15,1.0000000000000002,2.814172638628472e-13,149.35149311094088,4.3603749964568846e-11,23141.029349280972,9.396866682380197e-15,4.987029048302882,2.2917767268419878e-14,12.162731999184349
GW190519_153544,real,20-50,6.468348517517354e-16,0.9999999999999999,2.542809205783884e-14,39.311567688375746,1.0199373608009638e-12,1576.8126254155995,2.3679266145756587e-15,3.6607900890975857,4.044891679870106e-15,6.253360759575451
